EMPRESA,PROYECTO,N° WM,NOMBRES,APELLIDOS,CARGO TRABAJADOR,MAIL,RUT,ESTADO PEATON,ESTADO CONDUCTOR/OPERADOR,TURNO,FECHA INGRESO TURNO,FECHA SALIDA TURNO,CargoReporte,DependenciaTurno,NOMBRE_RESPORTABILIDAD,APELLIDO_RESPORTABILIDAD,MAIL_RESPORTABILIDAD,TURNO_REPORTABILIDAD,FECHA_INGRESO_TURNO_RESPORTABILIDAD,FECHA_SALIDA_TURNO_RESPORTABILIDAD
Perforaciones Andinas SpA,Proyecto Salar Blanco,27,Vicente Alvaro,Lopez Molina,ASESOR TECNICO LODOS,vicente.lopez@perforacionesandinas.cl,23.041.880-2,ACREDITADO,NO ACREDITADO,C,2025-10-20,2025-10-23,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-10-20,2025-10-23
Perforaciones Andinas SpA,Proyecto Salar Blanco,119,Luis Alvaro,Espinoza Rodriguez,PREVENCIONISTA DE RIESGOS,luis.espinoza@perforacionesandinas.cl,23.365.585-6,ACREDITADO,ACREDITADO,C,2025-10-20,2025-10-23,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-10-20,2025-10-23
Perforaciones Andinas SpA,Proyecto Salar Blanco,172,Claudio Pablo,Reyes Garrido,PERFORISTA DE SONDAJE,claudio.reyes@perforacionesandinas.cl,18.740.063-5,ACREDITADO,ACREDITADO,C,2025-10-20,2025-10-30,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-20,2025-10-30
Perforaciones Andinas SpA,Proyecto Salar Blanco,172,Claudio Pablo,Reyes Garrido,PERFORISTA DE SONDAJE,claudio.reyes@perforacionesandinas.cl,18.740.063-5,ACREDITADO,ACREDITADO,C,2025-10-20,2025-10-30,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,C,2025-10-20,2025-10-30
Perforaciones Andinas SpA,Proyecto Salar Blanco,158,Patricio Pablo,Quintero Villalobos,AYUDANTE DE SONDAJE,patricio.quintero@perforacionesandinas.cl,18.344.004-7,ACREDITADO,NO ACREDITADO,C,2025-10-20,2025-10-30,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-20,2025-10-30
Perforaciones Andinas SpA,Proyecto Salar Blanco,158,Patricio Pablo,Quintero Villalobos,AYUDANTE DE SONDAJE,patricio.quintero@perforacionesandinas.cl,18.344.004-7,ACREDITADO,NO ACREDITADO,C,2025-10-20,2025-10-30,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,C,2025-10-20,2025-10-30
Perforaciones Andinas SpA,Proyecto Salar Blanco,182,Ivan Lucas,Pinto Maldonado,COORDINADOR ADMINISTRATIVO,ivan.pinto@perforacionesandinas.cl,17.065.303-3,ACREDITADO,NO ACREDITADO,C,2025-10-20,2025-10-30,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-10-20,2025-10-23
Perforaciones Andinas SpA,Proyecto Salar Blanco,70,Victor Tomas,Navarro Medina,BODEGUERO,victor.navarro@perforacionesandinas.cl,18.105.247-3,ACREDITADO,NO ACREDITADO,C,2025-10-20,2025-10-30,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-10-20,2025-10-23
Perforaciones Andinas SpA,Proyecto Salar Blanco,3,Pablo Mario,Munoz Valenzuela,SUPERVISOR DE FAENA,pablo.munoz@perforacionesandinas.cl,15.815.317-3,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,JEFE FAENA,SI,Jaime Victor,Sandoval Vidal,jaime.sandoval@perforacionesandinas.cl,C,2025-09-26,2025-10-05
Perforaciones Andinas SpA,Proyecto Salar Blanco,117,Benjamin Sergio,Lagos Palma,PREVENCIONISTA DE RIESGOS,benjamin.lagos@perforacionesandinas.cl,24.360.280-7,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,ADMINISTRADOR DE CONTRATO,SI,Victor Oscar,Hernandez Alarcon,victor.hernandez@perforacionesandinas.cl,C,2025-09-29,2025-10-03
Perforaciones Andinas SpA,Proyecto Salar Blanco,77,Mario Ignacio,Morales Orellana,MANTENEDOR,mario.morales@perforacionesandinas.cl,18.721.196-4,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,JEFE FAENA,SI,Jaime Victor,Sandoval Vidal,jaime.sandoval@perforacionesandinas.cl,C,2025-09-26,2025-10-05
Perforaciones Andinas SpA,Proyecto Salar Blanco,167,Gabriel Miguel,Escobar Ibanez,MANTENEDOR,gabriel.escobar@perforacionesandinas.cl,13.023.127-6,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,JEFE FAENA,SI,Jaime Victor,Sandoval Vidal,jaime.sandoval@perforacionesandinas.cl,C,2025-09-26,2025-10-05
Perforaciones Andinas SpA,Proyecto Salar Blanco,18,Gonzalo Tomas,Morales Navarro,CHOFER DE SONDAJE,gonzalo.morales@perforacionesandinas.cl,21.257.603-4,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,18,Gonzalo Tomas,Morales Navarro,CHOFER DE SONDAJE,gonzalo.morales@perforacionesandinas.cl,21.257.603-4,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Felipe Pedro,Gonzalez Ahumada,felipe.gonzalez@perforacionesandinas.cl,D,2025-10-01,2025-10-10
Perforaciones Andinas SpA,Proyecto Salar Blanco,169,Carlos Claudio,Torres Arriagada,CHOFER DE SONDAJE,carlos.torres@perforacionesandinas.cl,16.155.909-1,ACREDITADO,ACREDITADO,C,2025-10-01,2025-10-10,SUPERVISOR DE FAENA,SI,Martin Hernan,Cabrera Cortes,martin.cabrera@perforacionesandinas.cl,C,2025-10-01,2025-10-10
